order_id,customer_id,order_date,status
1,1,2025-12-23,completed
2,1,2025-12-18,returned
3,1,2026-03-10,completed
4,2,2026-02-05,completed
5,2,2026-03-22,completed
6,2,2026-03-07,completed
7,3,2025-10-02,completed
8,3,2025-11-05,completed
9,3,2026-03-15,completed
10,4,2025-08-20,completed
11,4,2025-10-05,completed
12,4,2025-08-21,completed
13,4,2025-06-11,completed
14,4,2025-06-10,completed
15,5,2025-11-14,cancelled
16,5,2025-12-01,completed
17,6,2025-08-23,completed
18,6,2025-12-01,completed
19,6,2025-10-03,completed
20,6,2025-08-20,completed
21,6,2025-12-21,completed
22,6,2025-12-16,completed
23,6,2025-10-16,completed
24,6,2025-10-09,completed
25,6,2026-01-27,completed
26,6,2025-12-12,completed
27,6,2025-12-04,completed
28,7,2025-08-11,completed
29,7,2026-03-30,completed
30,7,2025-08-28,completed
31,7,2026-03-22,completed
32,7,2025-08-01,completed
33,8,2025-12-10,completed
34,8,2025-11-24,completed
35,8,2025-11-05,completed
36,8,2025-11-25,completed
37,8,2025-12-08,completed
38,9,2025-10-16,completed
39,9,2025-11-15,completed
40,9,2025-12-07,completed
41,9,2026-01-16,completed
42,9,2025-12-16,completed
43,10,2026-01-23,completed
44,10,2026-03-13,cancelled
45,10,2026-01-22,completed
46,10,2026-01-20,completed
47,10,2025-12-27,returned
48,10,2026-03-24,completed
49,10,2026-01-07,completed
50,10,2025-12-31,completed
51,11,2025-10-05,completed
52,11,2025-12-09,cancelled
53,11,2026-03-30,completed
54,12,2025-11-25,completed
55,12,2025-12-17,completed
56,12,2026-01-15,completed
57,13,2025-12-19,completed
58,13,2025-09-24,completed
59,13,2026-02-11,returned
60,13,2025-10-16,completed
61,13,2025-11-30,completed
62,13,2025-04-07,completed
63,13,2025-07-13,completed
64,13,2025-11-19,completed
65,13,2025-11-24,completed
66,13,2025-07-07,completed
67,13,2026-02-27,cancelled
68,13,2025-07-04,completed
69,13,2025-10-12,completed
70,14,2025-07-18,completed
71,14,2026-01-31,completed
72,14,2026-03-04,completed
73,14,2025-11-10,completed
74,14,2026-03-17,completed
75,14,2025-09-05,completed
76,14,2025-10-27,completed
77,14,2025-12-22,cancelled
78,14,2026-02-10,returned
79,14,2025-07-23,completed
80,14,2026-01-08,completed
81,15,2025-06-28,cancelled
82,15,2025-12-08,completed
