order_item_id,order_id,product_id,quantity,unit_price
1,1,2,2,220.3
2,1,129,2,84.44
3,1,51,1,49.98
4,1,48,2,435.56
5,2,11,2,112.49
6,3,68,1,119.12
7,3,207,1,64.46
8,4,129,1,84.44
9,4,141,1,36.29
10,4,109,1,30.17
11,5,35,1,86.62
12,6,185,2,9.0
13,6,148,3,53.47
14,6,50,1,107.54
15,7,213,3,78.52
16,7,299,1,40.73
17,8,90,3,107.96
18,8,30,2,196.49
19,9,272,1,54.07
20,10,48,1,435.56
21,10,271,1,25.05
22,11,48,1,370.23
23,11,59,1,27.37
24,12,291,2,57.78
25,12,206,2,120.0
26,12,86,1,126.75
27,12,23,1,493.78
28,13,191,1,13.0
29,13,220,1,111.31
30,13,113,1,114.07
31,14,261,2,15.86
32,15,139,1,81.27
33,16,109,1,30.17
34,16,22,2,134.57
35,16,38,1,468.88
36,17,152,2,8.32
37,17,154,2,14.33
38,17,15,1,364.67
39,18,30,1,196.49
40,19,177,3,10.07
41,19,260,1,24.39
42,19,171,1,7.6
43,19,94,2,85.17
44,20,276,1,41.1
45,20,246,3,113.5
46,20,37,1,469.17
47,20,113,1,114.07
48,20,28,1,70.59
49,21,263,2,54.42
50,22,96,1,54.35
51,22,109,3,30.17
52,22,225,1,31.08
53,23,12,1,272.73
54,23,175,1,11.13
55,23,127,2,81.42
56,23,228,2,145.66
57,24,153,2,12.43
58,25,257,1,44.73
59,25,106,2,52.67
60,26,62,1,114.48
61,27,68,1,119.12
62,27,115,1,67.67
63,28,237,1,164.54
64,29,300,1,26.99
65,30,137,1,24.6
66,30,162,1,12.24
67,30,146,1,22.21
68,31,83,2,53.26
69,32,56,1,40.4
70,32,71,2,32.05
71,32,153,1,14.62
72,33,120,1,38.46
73,34,83,3,53.26
74,35,75,1,16.24
75,35,242,3,40.24
76,36,209,1,133.25
77,36,65,1,40.63
78,36,255,1,10.89
79,36,95,1,44.12
80,37,4,1,210.21
81,37,145,1,86.92
82,38,95,1,37.5
83,38,236,1,158.92
84,39,253,1,30.32
85,39,46,1,284.02
86,40,26,1,57.48
87,40,114,1,24.67
88,41,9,1,376.35
89,41,27,2,212.09
90,41,137,1,24.6
91,41,240,1,140.25
92,42,83,2,53.26
93,42,153,1,14.62
94,43,161,1,14.98
95,44,126,1,92.48
96,44,241,1,187.5
97,45,30,1,196.49
98,46,235,2,67.88
99,46,179,1,12.55
100,46,62,2,114.48
101,47,294,2,31.9
102,48,33,2,230.07
103,48,37,2,469.17
104,49,71,3,32.05
105,49,250,2,168.81
106,50,28,2,70.59
107,50,67,1,72.2
108,50,111,1,50.4
109,50,238,1,16.98
110,51,166,3,7.06
111,51,91,1,44.13
112,51,19,1,294.52
113,51,127,1,81.42
114,52,85,1,129.63
115,53,268,1,18.76
116,53,298,2,46.31
117,54,45,1,114.42
118,55,83,2,53.26
119,55,41,1,457.34
120,56,92,1,129.44
121,56,299,2,47.92
122,56,25,1,415.68
123,57,192,1,11.95
124,57,63,3,56.96
125,57,208,1,184.91
126,57,260,1,28.69
127,58,41,1,457.34
128,59,11,1,112.49
129,59,139,3,81.27
130,59,142,2,75.38
131,59,70,2,141.08
132,59,52,1,54.28
133,60,287,1,19.74
134,60,191,1,11.05
135,60,35,1,73.63
136,61,275,2,59.42
137,61,31,1,249.94
138,61,36,1,242.56
139,62,141,2,36.29
140,62,27,1,212.09
141,63,89,1,82.82
142,64,132,2,100.37
143,64,1,2,349.29
144,65,93,2,92.49
145,65,89,1,82.82
146,65,10,3,449.59
147,66,287,1,23.22
148,67,192,2,11.95
149,68,245,1,140.2
150,68,65,1,40.63
151,69,129,2,71.77
152,70,76,2,130.07
153,71,23,2,493.78
154,71,132,1,100.37
155,72,13,3,441.05
156,72,3,1,75.76
157,73,119,1,90.04
158,73,38,1,468.88
159,74,162,1,12.24
160,74,17,1,215.79
161,74,112,1,63.18
162,74,90,1,107.96
163,75,287,1,23.22
164,75,23,1,493.78
165,75,289,1,41.64
166,75,48,1,435.56
167,75,286,1,28.16
168,76,286,1,23.94
169,76,229,1,112.56
170,77,17,1,215.79
171,78,13,1,441.05
172,78,249,1,50.18
173,78,9,1,376.35
174,79,295,1,32.26
175,80,270,2,25.59
176,80,153,2,14.62
177,80,237,1,164.54
178,81,171,1,8.94
179,81,185,1,9.0
180,82,61,2,66.33
181,82,195,1,9.15
182,82,272,1,54.07
183,83,65,1,40.63
184,83,278,1,12.69
185,84,140,1,110.12
186,84,287,3,23.22
187,84,235,3,67.88
188,84,253,1,30.32
189,85,31,1,212.45
190,86,57,3,142.17
191,86,122,3,54.84
192,87,200,1,14.75
193,87,220,1,111.31
194,87,282,1,44.01
195,87,221,1,147.92
196,88,207,1,54.79
197,88,132,1,85.31
198,89,27,1,180.28
199,89,143,1,100.84
200,89,45,1,97.26
201,89,188,1,8.41
202,89,13,1,374.89
203,90,219,2,162.55
204,91,200,1,14.75
205,92,109,2,25.64
206,92,55,3,80.71
207,92,295,2,27.42
208,92,105,2,89.0
209,92,181,1,9.51
210,93,256,1,24.23
211,93,93,1,92.49
212,93,123,1,44.69
213,93,63,3,56.96
214,94,23,1,493.78
215,94,48,2,435.56
216,95,240,1,140.25
217,96,92,1,129.44
218,97,51,2,49.98
219,98,299,1,47.92
220,98,296,1,42.5
221,99,25,1,415.68
222,100,74,2,29.39
223,100,126,1,92.48
224,100,95,2,44.12
225,101,61,1,66.33
226,102,196,1,13.75
227,102,297,1,12.01
228,103,30,1,196.49
229,104,50,2,107.54
230,104,133,2,53.27
231,105,153,3,14.62
232,105,239,1,190.45
233,105,47,2,307.35
234,105,169,2,13.99
235,105,13,1,441.05
236,106,35,1,86.62
237,106,54,1,60.93
238,107,42,1,380.42
239,107,80,2,44.55
240,107,161,1,14.98
241,108,31,3,249.94
242,108,68,1,119.12
243,109,144,2,63.79
244,110,219,1,191.23
245,111,132,2,100.37
246,111,259,2,5.49
247,112,51,1,42.48
248,112,259,2,4.67
249,112,35,1,73.63
250,113,114,2,24.67
251,113,104,1,96.83
252,114,78,2,106.4
253,115,192,1,11.95
254,115,51,1,49.98
255,116,8,3,364.24
256,117,39,1,494.09
257,118,237,1,164.54
258,118,165,2,12.64
259,118,112,3,63.18
260,118,40,2,435.7
261,119,82,3,34.9
262,119,167,2,8.26
263,119,288,3,6.74
264,119,19,2,346.49
265,119,269,1,30.89
266,120,141,1,36.29
267,121,64,1,94.66
268,121,219,2,191.23
269,122,194,1,9.84
270,122,40,1,370.34
271,122,77,1,49.0
272,122,77,1,49.0
273,123,1,1,349.29
274,123,260,2,28.69
275,124,55,1,80.71
276,125,155,1,10.05
277,125,191,3,13.0
278,125,107,1,118.13
279,125,34,1,325.67
280,125,9,1,376.35
281,126,87,1,19.64
282,126,217,2,101.7
283,127,180,1,9.14
284,127,80,1,44.55
285,127,256,2,24.23
286,128,148,3,53.47
287,128,226,1,71.55
288,129,71,2,32.05
289,130,51,1,49.98
290,130,150,1,87.9
291,131,147,1,76.03
292,131,51,2,49.98
293,132,82,1,29.66
294,133,181,1,11.19
295,133,164,1,12.82
296,133,269,1,30.89
297,134,61,2,66.33
298,135,188,1,9.89
299,135,79,1,55.07
300,136,222,1,185.91
301,137,45,3,114.42
302,138,119,1,76.53
303,138,282,1,37.41
304,138,184,1,12.39
305,139,206,1,120.0
306,139,72,1,104.61
307,140,145,1,86.92
308,140,36,3,242.56
309,141,216,1,80.49
310,141,50,2,107.54
311,141,297,2,12.01
312,142,55,1,94.95
313,142,245,3,140.2
314,143,129,1,84.44
315,144,40,1,435.7
316,144,170,1,9.51
317,145,146,1,22.21
318,146,281,2,45.56
319,146,61,1,56.38
320,146,124,1,64.92
321,147,46,1,284.02
322,148,226,2,71.55
323,148,227,2,157.56
324,149,138,1,25.18
325,149,114,3,24.67
326,150,135,2,60.07
327,150,239,2,190.45
328,151,48,1,435.56
329,151,71,1,32.05
330,152,27,2,212.09
331,152,114,1,24.67
332,152,238,1,16.98
333,153,146,3,22.21
334,154,272,1,54.07
335,154,122,1,54.84
336,154,45,1,114.42
337,155,261,1,13.48
338,155,38,3,398.55
339,155,170,3,8.08
340,156,26,2,57.48
341,156,245,1,140.2
342,156,250,1,168.81
343,156,9,1,376.35
344,157,85,3,129.63
345,157,75,1,16.24
346,158,167,1,8.26
347,158,70,1,141.08
348,158,289,1,41.64
349,159,183,1,12.74
350,160,94,1,100.2
351,160,290,2,57.16
352,160,113,1,114.07
353,161,277,1,29.16
354,162,71,2,32.05
355,162,177,3,11.85
356,163,71,2,32.05
357,163,82,1,34.9
358,164,51,1,49.98
359,164,122,1,54.84
360,165,54,1,60.93
361,165,73,1,94.75
362,165,12,2,320.86
363,165,267,1,47.32
364,166,13,1,441.05
365,166,85,3,129.63
366,166,50,1,107.54
367,166,81,2,106.8
368,167,53,2,30.04
369,167,68,1,119.12
370,167,42,1,380.42
371,167,45,1,114.42
372,167,40,2,435.7
373,168,55,1,94.95
374,168,151,1,9.74
375,168,105,2,104.71
376,169,237,2,164.54
377,169,18,1,328.26
378,169,18,1,328.26
379,170,53,1,30.04
380,170,100,1,35.61
381,171,287,1,19.74
382,171,165,1,10.74
383,172,186,1,9.43
384,172,178,1,9.82
385,173,253,2,30.32
386,174,259,1,4.67
387,174,52,1,46.14
388,175,129,1,84.44
389,176,158,1,11.43
390,176,28,2,70.59
391,177,33,1,230.07
392,177,239,1,190.45
393,177,176,1,10.95
394,178,42,2,380.42
395,178,28,1,70.59
396,179,168,1,8.99
397,179,81,1,106.8
398,180,1,1,349.29
399,180,38,1,468.88
400,180,294,1,31.9
401,180,34,3,325.67
402,180,206,1,120.0
403,181,74,2,29.39
404,182,227,3,157.56
405,182,80,2,44.55
406,183,138,1,25.18
407,183,11,1,112.49
408,184,249,3,50.18
409,185,141,1,36.29
410,185,186,1,9.43
411,185,129,1,84.44
412,186,121,1,24.83
413,186,155,3,10.05
414,186,285,1,12.35
415,187,105,1,104.71
416,187,32,1,323.04
417,187,120,1,38.46
418,188,36,1,242.56
419,188,83,1,53.26
420,189,31,1,249.94
421,190,41,2,457.34
422,190,191,2,13.0
423,190,236,2,186.97
424,191,234,1,30.65
425,191,249,1,50.18
426,192,201,2,62.93
427,193,8,1,364.24
428,193,115,1,67.67
429,193,36,1,242.56
430,193,115,1,67.67
431,193,283,1,11.09
432,194,103,1,23.01
433,194,77,1,57.65
434,195,215,3,96.21
435,195,23,1,493.78
436,195,32,1,323.04
437,195,250,1,168.81
438,196,72,1,104.61
439,197,273,1,34.5
440,197,31,1,249.94
441,198,218,1,68.06
442,198,83,1,53.26
443,199,254,1,21.41
444,200,271,2,25.05
445,200,35,3,86.62
446,200,41,2,457.34
447,200,250,1,168.81
448,201,290,1,57.16
449,201,10,1,449.59
450,202,83,1,53.26
451,202,81,1,106.8
452,203,228,2,171.37
453,203,120,2,38.46
454,203,14,3,175.76
455,203,181,1,11.19
456,203,143,1,118.63
457,204,111,1,50.4
458,204,160,1,14.38
459,205,214,2,84.74
460,205,6,1,80.82
461,205,96,1,46.2
462,205,165,1,10.74
463,205,75,2,13.8
464,206,235,1,67.88
465,206,125,1,30.63
466,207,81,2,106.8
467,208,173,1,12.14
468,208,191,1,13.0
469,209,129,1,84.44
470,209,11,2,112.49
471,210,169,2,13.99
472,210,49,1,277.09
473,211,38,1,468.88
474,211,145,1,86.92
475,211,102,2,104.46
476,212,119,1,90.04
477,212,263,2,54.42
478,212,10,1,449.59
479,212,223,3,57.32
480,213,62,1,114.48
481,213,277,1,29.16
482,214,78,3,125.18
483,214,21,2,235.91
484,215,259,2,5.49
485,215,209,1,133.25
486,215,268,1,18.76
487,216,228,1,171.37
488,216,282,1,44.01
489,216,207,1,64.46
